name,goals,assists,top_speed,total_minutes,distance,rating,rank
Federico Gatti,0,1,33.84,801,81.46,3.845774384599263,F
Youssouf Fofana,0,2,33.13,800,98.24,4.108063836200714,D
Jeremie Frimpong,0,5,35.38,796,89.53,5.154867298506226,C
Francisco Trincão,0,1,32.9,791,96.87,3.7928155773458694,F
Nicolò Barella,0,2,31.6,784,59.05,4.302809166857818,D
Vanderson,0,1,33.69,781,92.49,3.8264854980719196,F
Guus Til,0,2,32.04,768,90.7,4.187459546021048,D
Rodrigo De Paul,0,1,32.71,748,93.37,3.870473198830857,F
Raúl Asencio,0,1,35.84,748,61.5,4.009980907810386,D
Geovany Quenda,0,1,33.65,722,87.33,3.9346046623884177,F
Timi Max Elšnik,0,2,33.66,720,89.42,4.262647797884759,D
Gijs Smal,0,1,31.51,717,88.41,3.937125527729069,F
Henrikh Mkhitaryan,0,1,31.41,715,60.95,4.06022828926718,D
Isak Hien,0,1,34.64,710,80.42,3.9822487853535637,F
Maximilian Mittelstädt,0,3,32.43,706,86.65,4.629361388212953,D
Youngwoo Seol,0,3,32.14,701,83.91,4.648603918075154,D
Davide Zappacosta,0,5,33.34,699,90.06,5.29316733031881,C
Oscar Gloukh,0,2,32.98,681,81.21,4.3551242039951,D
Pau Torres,0,1,30.94,678,56.64,4.1327334563859335,D
Edmond Tapsoba,0,1,33.29,670,78.86,4.047065178790765,D
William Bøving,0,2,33.46,669,90.37,4.332423523593411,D
Stefan Ristovski,0,2,32.41,650,79.23,4.408731883606867,D
Luka Modrić,0,2,31.13,647,67.02,4.466529000302904,D
Sam Beukema,0,1,31.98,647,76.66,4.090038356030658,D
Manuel Akanji,0,1,33.28,646,72.11,4.111405213158921,D
Ludovic Ajorque,0,3,32.29,643,73.81,4.776897742621899,D
Rico Lewis,0,1,32.53,639,78.55,4.093362601923215,D
Marc Casadó,0,2,29.93,631,84.76,4.412069000799841,D
Amar Dedić,0,1,33.5,630,70.62,4.141122598145232,D
Ayyoub Bouaddi,0,1,30.79,622,77.96,4.120590019000499,D
Thomas Meunier,0,1,32.78,617,71.87,4.1544968358122265,D
Tochi Chukwuani,0,1,30.1,607,82.96,4.120448392625089,D
Kyriakos Savvidis,0,1,30.49,604,74.97,4.159772885163812,D
Filip Ugrinic,0,1,32.25,598,78.37,4.153587875888473,D
Quinten Timber,0,2,30.95,597,72.57,4.5147189989288234,D
Aleksandr Golovin,0,1,33.44,577,76.45,4.192435998840445,D
Trent Alexander-Arnold,0,1,34.14,577,65.18,4.241769286578107,D
Greg Taylor,0,1,30.63,576,73.54,4.206623921462073,D
Carlos Augusto,0,2,35.13,569,46.52,4.669341600808384,D
Fikayo Tomori,0,1,35.17,565,62.93,4.269014729786598,D
Andrea Cambiaso,0,1,33.82,564,62.05,4.274316532256722,D
Filip Panák,0,1,32.87,562,62.0,4.277434784754079,D
Francesco Acerbi,0,1,31.78,560,32.81,4.408110446716872,D
Andy Robertson,0,1,33.43,551,66.3,4.274558572655485,D
Serge Gnabry,0,3,33.72,549,64.91,4.952127574033299,D
Hugo Bueno,0,1,32.39,546,64.93,4.287804065765193,D
Piotr Zieliński,0,1,31.46,546,57.11,4.322035326644387,D
Joey Veerman,0,3,30.7,545,58.29,4.986904721090972,D
Ronaël Pierre-Gabriel,0,1,34.0,536,62.6,4.31250031835795,D
Matěj Ryneš,0,1,33.37,525,62.47,4.329015984225447,D
Myles Lewis-Skelly,0,2,31.33,498,27.25,4.856622161533787,D
Gabriel Gudmundsson,0,1,35.14,485,58.76,4.403243785704881,D
Josip Mišić,0,1,32.47,481,57.05,4.416527903233546,D
Kamil Piątkowski,0,1,33.02,478,56.62,4.422759258656322,D
Yukhym Konoplia,0,2,31.79,465,55.77,4.779618551461405,D
Federico Dimarco,0,2,32.59,461,29.61,4.899930076726168,D
Mama Baldé,0,2,36.13,452,54.42,4.804374026760868,D
Kostas Tsimikas,0,1,31.98,444,55.73,4.47594464707496,D
Samuel Lino,0,3,32.33,411,56.65,5.188342285970968,C
Andreas Schjelderup,0,2,32.19,408,52.24,4.877703172719277,D
